experiment,config,run,prompt_tokens_target,max_tokens,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp1,BASELINE,4,1000,20,211.73,211.75,200,1201,20,
exp1,BASELINE,5,1000,20,140.67,140.69,200,1201,13,
exp1,BASELINE,6,1000,20,217.5,217.52,200,1201,20,
exp1,BASELINE,7,1000,20,141.06,141.08,200,1201,13,
exp1,BASELINE,8,1000,20,219.13,219.16,200,1201,20,
exp1,BASELINE,9,1000,20,214.8,214.82,200,1201,20,
exp1,BASELINE,10,1000,20,216.72,216.74,200,1201,20,
exp1,BASELINE,11,1000,20,215.16,215.18,200,1201,20,
exp1,BASELINE,12,1000,20,212.71,212.73,200,1201,20,
exp1,BASELINE,13,1000,20,215.76,215.79,200,1201,20,
exp1,BASELINE,14,1000,20,213.34,213.37,200,1201,20,
exp1,BASELINE,15,1000,20,215.57,215.6,200,1201,20,
exp1,BASELINE,16,1000,20,215.35,215.37,200,1201,20,
exp1,BASELINE,17,1000,20,212.71,212.74,200,1201,20,
exp1,BASELINE,18,1000,20,215.23,215.26,200,1201,20,
exp1,BASELINE,19,1000,20,214.58,214.61,200,1201,20,
exp1,BASELINE,20,1000,20,214.63,214.66,200,1201,20,
exp1,DISAGG-D1,1,1000,20,274.96,275.0,200,1201,20,
exp1,DISAGG-D1,2,1000,20,277.62,277.66,200,1201,20,
exp1,DISAGG-D1,3,1000,20,274.93,274.96,200,1201,20,
exp1,DISAGG-D1,4,1000,20,277.66,277.7,200,1201,20,
exp1,DISAGG-D1,5,1000,20,278.91,278.94,200,1201,20,
exp1,DISAGG-D1,6,1000,20,277.82,277.86,200,1201,20,
exp1,DISAGG-D1,7,1000,20,278.84,278.86,200,1201,20,
exp1,DISAGG-D1,8,1000,20,280.97,281.01,200,1201,20,
exp1,DISAGG-D1,9,1000,20,280.91,280.95,200,1201,20,
exp1,DISAGG-D1,10,1000,20,279.89,279.92,200,1201,20,
exp1,DISAGG-D1,11,1000,20,279.71,279.74,200,1201,20,
exp1,DISAGG-D1,12,1000,20,282.51,282.54,200,1201,20,
exp1,DISAGG-D1,13,1000,20,279.45,279.48,200,1201,20,
exp1,DISAGG-D1,14,1000,20,279.21,279.24,200,1201,20,
exp1,DISAGG-D1,15,1000,20,280.34,280.37,200,1201,20,
exp1,DISAGG-D1,16,1000,20,281.47,281.49,200,1201,20,
exp1,DISAGG-D1,17,1000,20,286.43,286.45,200,1201,20,
exp1,DISAGG-D1,18,1000,20,237.16,237.19,200,1201,16,
exp1,DISAGG-D1,19,1000,20,278.38,278.41,200,1201,20,
exp1,DISAGG-D1,20,1000,20,284.05,284.07,200,1201,20,
exp1,DISAGG-D2,1,1000,20,272.85,272.89,200,1201,20,
exp1,DISAGG-D2,2,1000,20,271.11,271.14,200,1201,20,
exp1,DISAGG-D2,3,1000,20,270.12,270.15,200,1201,20,
exp1,DISAGG-D2,4,1000,20,270.93,270.95,200,1201,20,
exp1,DISAGG-D2,5,1000,20,271.66,271.69,200,1201,20,
exp1,DISAGG-D2,6,1000,20,271.95,271.98,200,1201,20,
exp1,DISAGG-D2,7,1000,20,272.94,272.97,200,1201,20,
exp1,DISAGG-D2,8,1000,20,262.68,262.7,200,1201,20,
exp1,DISAGG-D2,9,1000,20,270.41,270.44,200,1201,20,
exp1,DISAGG-D2,10,1000,20,271.08,271.11,200,1201,20,
exp1,DISAGG-D2,11,1000,20,271.62,271.64,200,1201,20,
exp1,DISAGG-D2,12,1000,20,270.68,270.71,200,1201,20,
exp1,DISAGG-D2,13,1000,20,272.56,272.59,200,1201,20,
exp1,DISAGG-D2,14,1000,20,273.92,273.94,200,1201,20,
exp1,DISAGG-D2,15,1000,20,272.65,272.68,200,1201,20,
exp1,DISAGG-D2,16,1000,20,272.34,272.37,200,1201,20,
exp1,DISAGG-D2,17,1000,20,269.33,269.36,200,1201,20,
exp1,DISAGG-D2,18,1000,20,273.04,273.07,200,1201,20,
exp1,DISAGG-D2,19,1000,20,271.71,271.73,200,1201,20,
exp1,DISAGG-D2,20,1000,20,270.44,270.47,200,1201,20,
