experiment,config,prompt_tokens_target,run,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp5,B-decode-direct,250,12,212.92,212.95,200,301,20,
exp5,B-decode-direct,250,13,215.07,215.09,200,301,20,
exp5,B-decode-direct,250,14,212.96,212.98,200,301,20,
exp5,B-decode-direct,250,15,216.32,216.34,200,301,20,
exp5,B-decode-direct,250,16,211.08,211.1,200,301,20,
exp5,B-decode-direct,250,17,214.32,214.34,200,301,20,
exp5,B-decode-direct,250,18,216.69,216.72,200,301,20,
exp5,B-decode-direct,250,19,215.46,215.49,200,301,20,
exp5,B-decode-direct,250,20,214.94,214.97,200,301,20,
exp5,B-decode-direct,250,21,217.63,217.66,200,301,20,
exp5,B-decode-direct,250,22,215.96,215.98,200,301,20,
exp5,B-decode-direct,250,23,212.62,212.65,200,301,20,
exp5,B-decode-direct,250,24,214.68,214.71,200,301,20,
exp5,B-decode-direct,250,25,214.22,214.25,200,301,20,
exp5,B-decode-direct,250,26,150.26,150.29,200,301,14,
exp5,B-decode-direct,250,27,23.98,24.0,200,301,1,
exp5,B-decode-direct,250,28,220.96,220.99,200,301,20,
exp5,B-decode-direct,250,29,216.16,216.19,200,301,20,
exp5,B-decode-direct,250,30,212.26,212.29,200,301,20,
exp5,C-sidecar-only,250,1,248.94,248.96,200,301,20,
exp5,C-sidecar-only,250,2,52.29,52.32,200,301,1,
exp5,C-sidecar-only,250,3,247.36,247.39,200,301,20,
exp5,C-sidecar-only,250,4,245.47,245.5,200,301,20,
exp5,C-sidecar-only,250,5,248.35,248.38,200,301,20,
exp5,C-sidecar-only,250,6,243.45,243.48,200,301,20,
exp5,C-sidecar-only,250,7,245.78,245.81,200,301,20,
exp5,C-sidecar-only,250,8,246.16,246.19,200,301,20,
exp5,C-sidecar-only,250,9,247.52,247.54,200,301,20,
exp5,C-sidecar-only,250,10,245.45,245.49,200,301,20,
exp5,C-sidecar-only,250,11,243.64,243.67,200,301,20,
exp5,C-sidecar-only,250,12,243.16,243.18,200,301,20,
exp5,C-sidecar-only,250,13,245.63,245.66,200,301,20,
exp5,C-sidecar-only,250,14,248.0,248.03,200,301,20,
exp5,C-sidecar-only,250,15,245.98,246.01,200,301,20,
